epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,90.3432,1.22266,3.52678,1.28088,0.45461,0.97222,0.94783,0.7683,0.97384,2.72297,1.12381,0.00041498,0.00041498,0.00041498
2,179.887,1.05932,2.49941,1.17769,0.73332,1,0.97577,0.74227,1.04943,1.91286,1.18707,0.000823413,0.000823413,0.000823413
3,274.607,1.05555,2.09642,1.1911,0.94401,0.66667,0.995,0.79727,0.91902,1.90374,1.31569,0.0012236,0.0012236,0.0012236
4,369.641,1.01527,1.97818,1.1575,0.78689,0.97222,0.94982,0.85569,0.92129,1.60295,1.25734,0.00121287,0.00121287,0.00121287
5,464.803,1.02725,1.76175,1.15431,0.55756,0.97222,0.95928,0.77052,0.92634,1.61627,1.28831,0.0012005,0.0012005,0.0012005
6,560.333,0.99716,1.53767,1.17974,0.83436,0.97222,0.95929,0.82976,0.92955,1.30835,1.30474,0.00118812,0.00118812,0.00118812
7,653.648,0.9518,1.47201,1.15775,0.90198,0.97222,0.96152,0.80896,0.86401,1.08742,1.27409,0.00117575,0.00117575,0.00117575
8,743.803,0.92966,1.26965,1.1354,0.92883,0.96355,0.995,0.81882,0.92936,1.08589,1.31846,0.00116337,0.00116337,0.00116337
9,833.439,0.9695,1.19623,1.15881,0.92456,0.92688,0.95689,0.86323,0.83599,0.91042,1.29785,0.001151,0.001151,0.001151
10,919.634,0.90403,1.02795,1.13261,0.85873,0.93668,0.96187,0.81337,0.85495,0.79041,1.28152,0.00113863,0.00113863,0.00113863
11,1004.36,0.89877,0.91715,1.13291,0.94453,0.96218,0.95305,0.87617,0.75856,0.74281,1.21209,0.00112625,0.00112625,0.00112625
12,1095.31,0.89478,1.02749,1.11624,0.71506,0.97222,0.9562,0.8482,0.73001,0.83449,1.24806,0.00111388,0.00111388,0.00111388
13,1188.47,0.86659,0.91964,1.10582,0.7858,0.97222,0.7986,0.67691,0.89338,0.73088,1.31176,0.0011015,0.0011015,0.0011015
14,1278.4,0.8916,0.84369,1.12516,0.9442,0.97222,0.95789,0.82005,0.7784,0.69912,1.23717,0.00108913,0.00108913,0.00108913
15,1368.37,0.90523,0.90045,1.13239,0.96909,1,0.995,0.86145,0.7201,0.64422,1.20874,0.00107675,0.00107675,0.00107675
16,1458.79,0.92035,0.86105,1.16685,0.92017,0.97222,0.95761,0.82457,0.75976,0.61968,1.23909,0.00106437,0.00106437,0.00106437
17,1551.21,0.87087,0.77862,1.12505,0.94888,0.97222,0.96195,0.89227,0.72559,0.62684,1.21948,0.001052,0.001052,0.001052
18,1642.23,0.87878,0.72431,1.16056,0.94261,0.97222,0.95216,0.84374,0.76281,0.5296,1.22314,0.00103962,0.00103962,0.00103962
19,1733.28,0.88775,0.7697,1.14333,0.92551,0.97222,0.94888,0.80558,0.82582,0.60329,1.25397,0.00102725,0.00102725,0.00102725
20,1825.81,0.87695,0.72475,1.12768,0.88327,0.92877,0.95542,0.85078,0.77811,0.60863,1.2301,0.00101488,0.00101488,0.00101488
21,1918.48,0.8493,0.65848,1.11688,0.93662,0.97222,0.95216,0.81413,0.80595,0.4943,1.2634,0.0010025,0.0010025,0.0010025
22,2010.86,0.87261,0.66319,1.14399,0.92855,0.97222,0.95764,0.81543,0.81161,0.47894,1.2738,0.000990125,0.000990125,0.000990125
23,2105.01,0.85583,0.6691,1.11461,0.93556,0.9492,0.95702,0.88946,0.72246,0.52045,1.2229,0.00097775,0.00097775,0.00097775
24,2199.75,0.85277,0.65344,1.12069,0.97732,0.95567,0.995,0.90316,0.71162,0.47909,1.21273,0.000965375,0.000965375,0.000965375
25,2298.15,0.85768,0.62526,1.12837,0.94383,0.97222,0.965,0.86165,0.76361,0.50271,1.22587,0.000953,0.000953,0.000953
26,2391.53,0.85263,0.64798,1.11098,0.90888,0.97222,0.96801,0.81013,0.90369,0.5224,1.35995,0.000940625,0.000940625,0.000940625
27,2484.24,0.83958,0.63671,1.10665,0.93871,0.9548,0.9675,0.88784,0.79547,0.49548,1.28884,0.00092825,0.00092825,0.00092825
28,2576.36,0.86074,0.60728,1.12789,0.9472,0.97222,0.96547,0.85992,0.75342,0.46361,1.25198,0.000915875,0.000915875,0.000915875
29,2670.54,0.83024,0.65035,1.10337,0.9412,0.97222,0.96973,0.89795,0.70109,0.5237,1.21877,0.0009035,0.0009035,0.0009035
30,2761.98,0.81978,0.64307,1.10349,0.92558,0.9667,0.96354,0.88926,0.72978,0.44944,1.26734,0.000891125,0.000891125,0.000891125
31,2852.58,0.82414,0.59714,1.11803,0.94958,0.97222,0.96441,0.89236,0.71954,0.46347,1.24329,0.00087875,0.00087875,0.00087875
32,2942.94,0.81576,0.61852,1.09889,0.96456,1,0.995,0.90381,0.6719,0.40271,1.20577,0.000866375,0.000866375,0.000866375
33,3033.78,0.81302,0.59514,1.09669,0.95397,1,0.995,0.88594,0.72708,0.41822,1.22681,0.000854,0.000854,0.000854
34,3128.51,0.80458,0.6082,1.0928,0.97478,1,0.995,0.89747,0.72855,0.41685,1.25843,0.000841625,0.000841625,0.000841625
35,3223.68,0.79123,0.58041,1.07517,0.97201,1,0.995,0.89367,0.69108,0.40767,1.21223,0.00082925,0.00082925,0.00082925
36,3337.05,0.79227,0.57964,1.08193,0.96879,1,0.995,0.89277,0.70458,0.43193,1.20947,0.000816875,0.000816875,0.000816875
37,3443.76,0.7981,0.57744,1.13125,0.96394,1,0.995,0.85521,0.70032,0.4446,1.20243,0.0008045,0.0008045,0.0008045
38,3542.09,0.79802,0.54244,1.0851,0.94216,0.97222,0.95806,0.89506,0.6996,0.41382,1.25384,0.000792125,0.000792125,0.000792125
39,3647.26,0.79792,0.52772,1.08225,0.95635,0.97222,0.96102,0.89226,0.70522,0.39773,1.24191,0.00077975,0.00077975,0.00077975
40,3747.75,0.76827,0.4993,1.05413,0.97999,1,0.995,0.88138,0.69357,0.40135,1.20893,0.000767375,0.000767375,0.000767375
41,3844.04,0.78729,0.49177,1.0767,0.9232,0.9714,0.9551,0.85805,0.68795,0.39323,1.20596,0.000755,0.000755,0.000755
42,3932.59,0.77846,0.50555,1.05781,0.9647,1,0.995,0.85575,0.71526,0.36029,1.20153,0.000742625,0.000742625,0.000742625
43,4019.12,0.82213,0.53101,1.14576,0.9464,0.97222,0.9607,0.85964,0.76216,0.40362,1.23098,0.00073025,0.00073025,0.00073025
44,4106.3,0.74018,0.47223,1.07242,0.96093,1,0.995,0.89982,0.72825,0.39533,1.19733,0.000717875,0.000717875,0.000717875
45,4195.5,0.75723,0.46873,1.07188,0.9494,0.97016,0.97237,0.89971,0.70812,0.39049,1.20597,0.0007055,0.0007055,0.0007055
46,4283.43,0.80716,0.53495,1.11827,0.93005,0.97222,0.95746,0.88208,0.69777,0.36478,1.2014,0.000693125,0.000693125,0.000693125
47,4390.05,0.7562,0.49223,1.06985,0.9467,0.97222,0.95881,0.8571,0.7273,0.41066,1.20869,0.00068075,0.00068075,0.00068075
48,4486.02,0.74847,0.44146,1.08,0.97781,1,0.995,0.90363,0.69219,0.36303,1.19012,0.000668375,0.000668375,0.000668375
49,4582.34,0.75593,0.46071,1.06813,0.98737,1,0.995,0.90218,0.69302,0.36206,1.20154,0.000656,0.000656,0.000656
50,4677.51,0.76862,0.49505,1.07194,0.93965,0.9656,0.9727,0.89571,0.7486,0.37703,1.24904,0.000643625,0.000643625,0.000643625
51,4775.42,0.74046,0.48634,1.04882,0.93274,1,0.995,0.9009,0.67103,0.3447,1.18776,0.00063125,0.00063125,0.00063125
52,4872.87,0.7086,0.44657,1.01667,0.9441,0.97222,0.97417,0.93227,0.70692,0.36907,1.22353,0.000618875,0.000618875,0.000618875
53,4970.75,0.73834,0.44545,1.04529,0.9412,0.97222,0.95881,0.88847,0.65618,0.32535,1.19424,0.0006065,0.0006065,0.0006065
54,5070.12,0.74188,0.44214,1.06799,0.94483,0.97222,0.9758,0.91528,0.66282,0.35098,1.19763,0.000594125,0.000594125,0.000594125
55,5154.42,0.72231,0.44139,1.04451,0.95883,0.97222,0.98052,0.88053,0.69686,0.32294,1.19456,0.00058175,0.00058175,0.00058175
