epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.1272,1.1046,4.04455,1.20673,0.00414,1,0.67841,0.44717,1.03056,4.23709,1.14647,0.0003875,0.0003875,0.0003875
2,26.1479,1.17006,3.16681,1.06947,0.00409,1,0.87711,0.6658,0.89499,3.73065,1.09229,0.000779704,0.000779704,0.000779704
3,39.1501,1.07475,2.96413,1.07199,0.00467,1,0.68589,0.49744,0.94468,3.63756,1.04034,0.00116399,0.00116399,0.00116399
