epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,132.804,1.67768,3.2892,1.69464,0.72515,0.41477,0.44817,0.24405,1.83538,3.28701,1.80518,0.000551611,0.000551611,0.000551611
2,459.492,1.64617,2.58641,1.56025,0.79704,0.46023,0.49979,0.29047,1.85425,4.42942,1.86925,0.00107074,0.00107074,0.00107074
3,591.707,1.66494,2.64548,1.58881,0.62807,0.45729,0.45357,0.29278,1.83439,3.38544,1.7848,0.00155319,0.00155319,0.00155319
4,705.473,1.72618,2.51715,1.68421,0.8339,0.39773,0.48338,0.29755,1.68158,3.2894,1.71631,0.00150197,0.00150197,0.00150197
5,773.015,1.60396,2.38081,1.57217,0.69384,0.52273,0.56317,0.26125,1.82197,2.86675,1.89757,0.00144696,0.00144696,0.00144696
6,839.532,1.63497,2.22813,1.57794,0.7502,0.39773,0.48001,0.28595,1.58191,3.04585,1.65477,0.00139195,0.00139195,0.00139195
7,906.26,1.56256,1.97658,1.54043,0.55403,0.39773,0.45714,0.2902,1.69028,2.75645,1.61234,0.00133693,0.00133693,0.00133693
8,973.542,1.60711,2.05813,1.59564,0.64248,0.52273,0.55891,0.33231,1.82134,2.76981,1.70202,0.00128192,0.00128192,0.00128192
9,1046.21,1.55,1.96453,1.54343,0.80434,0.38779,0.50796,0.2942,1.70276,2.75543,1.69455,0.00122691,0.00122691,0.00122691
10,1149.83,1.50009,1.8391,1.51861,0.78143,0.51903,0.55523,0.32479,1.594,2.39106,1.5954,0.0011719,0.0011719,0.0011719
11,1215.57,1.49901,1.80324,1.51124,0.75529,0.5091,0.52716,0.33402,1.67576,2.46638,1.59665,0.00111689,0.00111689,0.00111689
12,1285.95,1.49347,1.82765,1.53605,0.90729,0.52273,0.59718,0.40922,1.70579,2.18134,1.66716,0.00106188,0.00106188,0.00106188
13,1351.39,1.4745,1.73251,1.51859,0.55817,0.52273,0.62315,0.33873,1.70576,2.65322,1.61123,0.00100687,0.00100687,0.00100687
14,1419.22,1.37964,1.70687,1.42967,0.87905,0.46023,0.61047,0.39194,1.57831,2.06323,1.58084,0.000951857,0.000951857,0.000951857
15,1482.82,1.3569,1.52137,1.41476,0.81701,0.52273,0.67318,0.40659,1.58445,2.05451,1.6025,0.000896846,0.000896846,0.000896846
16,1540.54,1.31433,1.42521,1.3794,0.80069,0.5126,0.66017,0.43217,1.47545,1.97932,1.48925,0.000841835,0.000841835,0.000841835
17,1598.07,1.35637,1.41563,1.39939,0.76901,0.52273,0.58955,0.41128,1.50876,2.11566,1.50899,0.000786824,0.000786824,0.000786824
18,1654.77,1.33837,1.37495,1.40121,0.75604,0.51677,0.57527,0.35439,1.60073,2.22312,1.56101,0.000731813,0.000731813,0.000731813
19,1719.04,1.26241,1.30463,1.34592,0.6668,0.52273,0.60212,0.3949,1.57783,2.21609,1.54335,0.000676802,0.000676802,0.000676802
20,1788.47,1.37004,1.40505,1.3901,0.82648,0.52273,0.64763,0.39397,1.71165,2.2028,1.57201,0.000621791,0.000621791,0.000621791
21,1854.17,1.21101,1.33985,1.267,0.81784,0.52273,0.63105,0.42825,1.52929,2.147,1.489,0.00056678,0.00056678,0.00056678
22,1917.22,1.17504,1.24015,1.24449,0.82898,0.50955,0.56125,0.36629,1.65072,2.02641,1.53449,0.000511769,0.000511769,0.000511769
23,1976.95,1.1785,1.21685,1.26524,0.77949,0.52273,0.5652,0.31403,1.72588,2.03688,1.59521,0.000456758,0.000456758,0.000456758
24,2039.12,1.1163,1.13765,1.23346,0.76762,0.52273,0.62585,0.40433,1.4814,2.02546,1.49991,0.000401747,0.000401747,0.000401747
25,2097.6,1.09862,1.15221,1.2308,0.63343,0.52273,0.60922,0.40501,1.34299,1.85922,1.47303,0.000346736,0.000346736,0.000346736
26,2154.86,1.08202,1.15466,1.21729,0.79053,0.52273,0.6236,0.38717,1.39838,1.84958,1.45898,0.000291725,0.000291725,0.000291725
27,2212.81,1.04024,1.09262,1.17121,0.80493,0.52273,0.63963,0.40706,1.34754,1.85322,1.43555,0.000236714,0.000236714,0.000236714
28,2316.28,1.01951,1.07348,1.14999,0.51775,0.73177,0.63635,0.40307,1.35593,1.74991,1.4226,0.000181703,0.000181703,0.000181703
29,2381.64,0.98166,1.03995,1.15849,0.52114,0.78158,0.67407,0.42877,1.34786,1.70375,1.4254,0.000126692,0.000126692,0.000126692
30,2460.81,0.97332,1.00384,1.1276,0.54195,0.73791,0.69109,0.45281,1.32955,1.72391,1.4276,7.1681e-05,7.1681e-05,7.1681e-05
