epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.6987,1.1046,4.04455,1.20673,0.00414,1,0.67841,0.44717,1.03056,4.23709,1.14647,0.0003875,0.0003875,0.0003875
2,25.2134,1.17006,3.16681,1.06947,0.00409,1,0.87711,0.6658,0.89499,3.73065,1.09229,0.000779704,0.000779704,0.000779704
3,38.1751,1.07475,2.96413,1.07199,0.00467,1,0.68589,0.49744,0.94468,3.63756,1.04034,0.00116399,0.00116399,0.00116399
4,51.0038,0.97118,2.97768,1.03078,0.55762,1,0.77417,0.59218,0.83453,3.14292,1.02558,0.00121287,0.00121287,0.00121287
5,64.5465,1.02405,2.95681,1.13545,0.63537,1,0.82917,0.67457,0.85686,3.47789,1.09111,0.0012005,0.0012005,0.0012005
6,77.8245,0.99848,2.8951,1.11037,0.85197,0.88942,0.995,0.79067,0.93306,2.47639,1.15495,0.00118812,0.00118812,0.00118812
7,90.4784,0.95415,2.88768,1.05139,0.96573,0.66667,0.77389,0.67461,0.76315,2.95822,1.06927,0.00117575,0.00117575,0.00117575
8,103.968,0.97895,2.34262,1.08604,0.96843,1,0.995,0.80726,0.77108,1.9424,1.09947,0.00116337,0.00116337,0.00116337
9,117.038,0.93186,2.05048,0.97962,0.63694,1,0.995,0.77434,0.85406,2.71673,1.15823,0.001151,0.001151,0.001151
10,129.438,0.9061,2.77231,1.03222,0.93079,0.99238,0.995,0.7965,0.98927,2.4341,1.22033,0.00113863,0.00113863,0.00113863
11,141.895,0.92059,2.40311,1.09846,0.84178,0.33333,0.995,0.81987,0.85198,2.97772,1.10992,0.00112625,0.00112625,0.00112625
12,154.119,0.97205,2.29205,1.07167,0.95799,1,0.995,0.82381,0.73459,2.63104,1.07595,0.00111388,0.00111388,0.00111388
13,166.917,0.91937,2.56397,0.95785,0.79878,1,0.995,0.89572,0.62192,2.10994,1.01896,0.0011015,0.0011015,0.0011015
14,179.221,0.86117,2.20684,0.97987,0.84969,1,0.995,0.85157,0.55642,2.11774,0.98265,0.00108913,0.00108913,0.00108913
15,191.988,0.94979,1.75698,1.02748,0.9555,1,0.995,0.81843,0.68347,2.24645,1.04036,0.00107675,0.00107675,0.00107675
16,204.029,0.89983,1.81321,1.01396,0.95481,1,0.995,0.79625,0.72327,2.1195,1.05961,0.00106437,0.00106437,0.00106437
17,216.241,0.89985,1.75273,1.04286,0.8916,0.86722,0.995,0.85698,0.69563,2.04693,1.01287,0.001052,0.001052,0.001052
18,228.423,0.90784,1.79615,1.06372,0.83582,1,0.995,0.8404,0.77367,1.69535,1.04556,0.00103962,0.00103962,0.00103962
19,239.639,0.79795,1.60546,0.97355,0.88148,1,0.995,0.80369,0.75028,1.44521,1.05354,0.00102725,0.00102725,0.00102725
20,250.851,0.82194,1.78943,1.01673,0.79558,1,0.995,0.85288,0.739,1.59811,1.02784,0.00101488,0.00101488,0.00101488
21,261.639,0.81961,2.13107,1.02118,0.98071,0.66667,0.91433,0.807,0.65503,1.89649,1.01985,0.0010025,0.0010025,0.0010025
22,272.396,0.84617,1.59411,1.01935,0.78245,0.96584,0.995,0.88462,0.52407,1.62653,0.99479,0.000990125,0.000990125,0.000990125
23,283.064,0.81868,1.63645,1.0487,0.60443,0.94834,0.9675,0.83015,0.66173,1.82496,1.08005,0.00097775,0.00097775,0.00097775
24,293.796,0.73966,1.72524,0.96738,0.67601,0.98112,0.995,0.79892,0.74674,2.56946,1.1356,0.000965375,0.000965375,0.000965375
25,304.698,0.83697,1.54309,1.04145,0.82721,0.90197,0.995,0.81453,0.81895,1.78233,1.12748,0.000953,0.000953,0.000953
26,315.896,0.75756,1.52427,1.00336,0.93322,0.98642,0.995,0.84036,0.76771,1.46292,1.07435,0.000940625,0.000940625,0.000940625
27,326.984,0.81373,1.43365,1.01244,0.96583,1,0.995,0.84425,0.6755,1.39677,1.02701,0.00092825,0.00092825,0.00092825
28,338.339,0.66347,1.26777,0.93716,0.96759,1,0.995,0.8994,0.62968,1.37862,1.03034,0.000915875,0.000915875,0.000915875
29,349.878,0.77243,1.37809,0.9958,0.95533,1,0.995,0.87919,0.68245,1.39433,1.03566,0.0009035,0.0009035,0.0009035
30,360.924,0.83542,1.48953,1.04803,0.95741,0.97262,0.995,0.87357,0.77426,1.48618,1.06597,0.000891125,0.000891125,0.000891125
31,372.107,0.79676,1.50772,1.05614,0.95633,1,0.995,0.88087,0.7796,1.50003,1.0741,0.00087875,0.00087875,0.00087875
32,383.471,0.74136,1.30867,1.00206,0.94173,1,0.995,0.91404,0.65165,1.31616,1.00885,0.000866375,0.000866375,0.000866375
33,394.645,0.72161,1.62294,0.99925,0.97756,1,0.995,0.91404,0.60779,1.44123,1.0007,0.000854,0.000854,0.000854
34,405.625,0.70907,1.48523,0.97906,0.97733,1,0.995,0.9177,0.58988,1.44892,0.9881,0.000841625,0.000841625,0.000841625
35,416.658,0.67636,1.40559,0.94747,0.96784,1,0.995,0.90673,0.60994,1.42209,0.99616,0.00082925,0.00082925,0.00082925
36,428.096,0.73547,1.43771,1.01674,0.97226,1,0.995,0.89015,0.61983,1.40908,0.99112,0.000816875,0.000816875,0.000816875
37,439.515,0.80602,1.22322,1.01992,0.94359,1,0.995,0.88453,0.59461,1.30017,0.97055,0.0008045,0.0008045,0.0008045
38,450.621,0.74928,1.39945,1.00317,0.94349,1,0.995,0.88453,0.56028,1.29784,0.95879,0.000792125,0.000792125,0.000792125
39,461.451,0.74512,1.19682,1.01166,0.97181,1,0.995,0.88086,0.48804,1.25788,0.94244,0.00077975,0.00077975,0.00077975
40,472.54,0.76428,1.85295,1.02507,0.96754,1,0.995,0.92867,0.50483,1.18653,0.94006,0.000767375,0.000767375,0.000767375
41,483.491,0.67843,1.22752,0.97658,0.96806,1,0.995,0.86233,0.68388,1.24345,0.98955,0.000755,0.000755,0.000755
42,494.526,0.67822,1.13232,0.94588,0.97264,1,0.995,0.86608,0.70286,1.22624,1.00913,0.000742625,0.000742625,0.000742625
43,505.521,0.64172,1.11643,0.94114,0.97639,1,0.995,0.86623,0.6923,1.16379,1.01532,0.00073025,0.00073025,0.00073025
44,516.451,0.63809,1.08589,0.93699,0.9747,1,0.995,0.91403,0.53547,1.17615,0.96416,0.000717875,0.000717875,0.000717875
45,527.189,0.67141,1.27292,0.92625,0.97219,1,0.995,0.91403,0.55064,1.11198,0.9744,0.0007055,0.0007055,0.0007055
46,538.22,0.59491,1.27357,0.88773,0.97037,1,0.995,0.8994,0.59364,1.14538,0.99355,0.000693125,0.000693125,0.000693125
47,549.11,0.69631,1.15444,0.97485,0.97,1,0.995,0.8994,0.64873,1.11864,1.01239,0.00068075,0.00068075,0.00068075
48,559.876,0.61468,1.09648,0.93332,0.9686,1,0.995,0.91403,0.70059,1.12657,1.02437,0.000668375,0.000668375,0.000668375
49,571.118,0.72833,1.18325,0.95839,0.96638,1,0.995,0.86608,0.73276,1.14896,1.02852,0.000656,0.000656,0.000656
50,582.452,0.64531,0.97118,0.95379,0.96538,1,0.995,0.86608,0.73407,1.14599,1.0376,0.000643625,0.000643625,0.000643625
51,593.968,0.64746,1.05889,0.97969,0.96357,1,0.995,0.89925,0.66574,1.20179,1.01462,0.00063125,0.00063125,0.00063125
52,605.666,0.68351,1.00879,0.97105,0.94086,1,0.995,0.89925,0.58219,1.07861,0.98896,0.000618875,0.000618875,0.000618875
53,617.126,0.67293,0.98399,0.95528,0.9503,1,0.995,0.91403,0.55903,1.10319,0.9923,0.0006065,0.0006065,0.0006065
54,628.4,0.6682,1.10209,0.96071,0.95724,1,0.995,0.91403,0.55934,1.1281,0.97766,0.000594125,0.000594125,0.000594125
55,639.5,0.66136,1.16766,0.96811,0.96559,1,0.995,0.87355,0.59535,1.0659,0.98216,0.00058175,0.00058175,0.00058175
56,650.556,0.64779,1.0442,0.95397,0.96279,1,0.995,0.89014,0.61441,1.04883,0.98943,0.000569375,0.000569375,0.000569375
57,661.449,0.65132,0.87236,0.9614,0.97279,1,0.995,0.86259,0.68028,1.04452,1.01374,0.000557,0.000557,0.000557
58,672.248,0.65726,1.01614,0.95881,0.97368,1,0.995,0.85521,0.69886,1.02464,1.01465,0.000544625,0.000544625,0.000544625
