epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,45.0327,1.11475,3.60914,1.14298,0.55962,0.88951,0.74625,0.50358,1.28006,2.77928,1.35938,0.00041336,0.00041336,0.00041336
2,88.9867,1.06494,2.55416,1.1427,0.9553,0.66667,0.995,0.70778,1.1862,2.28123,1.34137,0.000821809,0.000821809,0.000821809
3,132.171,1.09164,2.40827,1.12574,0.86022,0.66667,0.82917,0.59725,1.27762,3.40706,1.34656,0.00122201,0.00122201,0.00122201
4,177.099,1.03868,2.22436,1.08965,0.90455,1,0.995,0.80378,1.02789,3.20515,1.25645,0.00121287,0.00121287,0.00121287
5,221.791,1.06136,2.09373,1.09097,0.86861,1,0.995,0.85145,0.74842,2.14429,1.05524,0.0012005,0.0012005,0.0012005
6,265.944,1.03353,1.90647,1.12471,0.89449,1,0.995,0.80722,0.75113,2.07933,1.05846,0.00118812,0.00118812,0.00118812
7,309.436,1.03291,2.03041,1.1498,0.93765,1,0.995,0.83477,0.70472,2.08793,1.05304,0.00117575,0.00117575,0.00117575
8,353.046,0.98675,1.72919,1.07911,0.87857,1,0.995,0.82572,0.77957,1.48783,1.08411,0.00116337,0.00116337,0.00116337
9,396.1,1.01095,1.71635,1.08961,0.79871,1,0.9675,0.84033,0.9076,1.68061,1.08578,0.001151,0.001151,0.001151
10,438.992,0.96057,1.73081,1.09038,0.95754,1,0.995,0.83477,0.80608,1.30039,1.04402,0.00113863,0.00113863,0.00113863
11,481.968,0.94756,1.56084,1.11019,0.95556,1,0.995,0.87354,0.83176,1.33225,1.08316,0.00112625,0.00112625,0.00112625
12,525.475,0.94548,1.48208,1.10664,0.89643,1,0.995,0.79625,0.94741,1.3536,1.18534,0.00111388,0.00111388,0.00111388
13,568.245,0.98114,1.48169,1.11775,0.90343,0.98633,0.995,0.7815,0.85113,1.28829,1.10108,0.0011015,0.0011015,0.0011015
14,610.95,0.95598,1.43293,1.12312,0.80081,1,0.995,0.91031,0.57413,1.43343,1.01969,0.00108913,0.00108913,0.00108913
15,653.854,0.94175,1.28264,1.08802,0.93897,1,0.995,0.90671,0.63781,1.03335,0.99919,0.00107675,0.00107675,0.00107675
16,697.652,0.86367,1.19939,1.0562,0.97234,1,0.995,0.86622,0.7306,1.05245,1.03907,0.00106437,0.00106437,0.00106437
17,742.431,0.9174,1.11222,1.0986,0.95742,1,0.995,0.88085,0.7224,1.31837,1.03438,0.001052,0.001052,0.001052
18,787.299,0.85262,1.04586,1.07795,0.89222,1,0.94,0.82952,0.63975,1.04825,1.00015,0.00103962,0.00103962,0.00103962
19,831.816,0.86338,1.0737,1.06335,0.9588,1,0.995,0.91402,0.48699,0.84964,0.95876,0.00102725,0.00102725,0.00102725
20,876.881,0.88805,0.99314,1.09247,0.8723,1,0.995,0.95086,0.5085,1.02183,0.95835,0.00101488,0.00101488,0.00101488
21,921.154,0.8821,1.02056,1.10916,0.94809,1,0.995,0.89019,0.56157,0.83033,0.96413,0.0010025,0.0010025,0.0010025
22,968.557,0.90836,0.94736,1.09716,0.95682,1,0.995,0.91034,0.5642,0.79998,0.9648,0.000990125,0.000990125,0.000990125
23,1014.8,0.81396,0.94574,1.03918,0.96646,1,0.995,0.93244,0.37936,0.75378,0.9243,0.00097775,0.00097775,0.00097775
24,1059.73,0.84454,0.9434,1.08711,0.96167,1,0.995,0.92867,0.61136,0.7733,0.98804,0.000965375,0.000965375,0.000965375
25,1105.83,0.82048,0.93449,1.04588,0.93165,1,0.995,0.88481,0.61228,0.7099,1.00416,0.000953,0.000953,0.000953
26,1148.62,0.82585,0.99309,1.065,0.96289,1,0.995,0.85913,0.74795,0.72828,1.08206,0.000940625,0.000940625,0.000940625
27,1191.88,0.8516,0.90965,1.07594,0.96643,1,0.995,0.94371,0.52232,0.62577,0.96425,0.00092825,0.00092825,0.00092825
28,1236.01,0.83361,0.82002,1.05828,0.95693,1,0.995,0.9464,0.42787,0.58336,0.94085,0.000915875,0.000915875,0.000915875
29,1279.09,0.82998,0.81876,1.08105,0.95162,1,0.995,0.83498,0.68129,0.62926,1.00329,0.0009035,0.0009035,0.0009035
30,1323.32,0.81044,0.79977,1.03842,0.97095,1,0.995,0.87457,0.65838,0.58825,1.01151,0.000891125,0.000891125,0.000891125
31,1366.44,0.86778,0.82462,1.08958,0.95362,1,0.995,0.91853,0.55355,0.5296,0.96315,0.00087875,0.00087875,0.00087875
32,1410.06,0.81797,0.77517,1.06415,0.97128,1,0.995,0.92933,0.51141,0.64986,0.94228,0.000866375,0.000866375,0.000866375
33,1452.65,0.72848,0.73304,1.00656,0.9608,1,0.995,0.94745,0.50682,0.57361,0.94659,0.000854,0.000854,0.000854
34,1495.33,0.75812,0.70339,1.03017,0.96865,1,0.995,0.92464,0.59448,0.63458,0.96256,0.000841625,0.000841625,0.000841625
35,1537.37,0.76645,0.6956,1.02809,0.96813,1,0.995,0.89752,0.7141,0.56216,0.99399,0.00082925,0.00082925,0.00082925
36,1579.01,0.71544,0.7152,0.99307,0.97448,1,0.995,0.91847,0.61576,0.53174,0.98639,0.000816875,0.000816875,0.000816875
37,1620.72,0.79041,0.64033,1.05861,0.96159,1,0.995,0.9156,0.60249,0.5662,1.00571,0.0008045,0.0008045,0.0008045
38,1662.52,0.77574,0.68458,1.02642,0.95993,1,0.995,0.9012,0.48815,0.49258,0.95502,0.000792125,0.000792125,0.000792125
39,1703.65,0.75334,0.66226,1.02799,0.95904,1,0.995,0.9075,0.54357,0.51406,0.98997,0.00077975,0.00077975,0.00077975
40,1751.08,0.74349,0.63417,1.03948,0.97222,1,0.995,0.88587,0.54516,0.53021,1.00256,0.000767375,0.000767375,0.000767375
